time,x,y,u,v,phase,toe_x,toe_y,energy
0.195000,0.857779,0.865127,4.326076,-1.717846,1,1.165118,0.000000,19.990674
0.196000,0.862103,0.863412,4.320521,-1.711922,1,1.165118,0.000000,19.990674
0.197000,0.866420,0.861703,4.314825,-1.705401,1,1.165118,0.000000,19.990674
0.198000,0.870732,0.860001,4.308995,-1.698286,1,1.165118,0.000000,19.990674
0.199000,0.875038,0.858307,4.303037,-1.690580,1,1.165118,0.000000,19.990674
0.200000,0.879338,0.856620,4.296958,-1.682286,1,1.165118,0.000000,19.990674
0.201000,0.883632,0.854943,4.290765,-1.673408,1,1.165118,0.000000,19.990674
0.202000,0.887920,0.853274,4.284463,-1.663948,1,1.165118,0.000000,19.990674
0.203000,0.892201,0.851615,4.278058,-1.653910,1,1.165118,0.000000,19.990674
0.204000,0.896476,0.849966,4.271559,-1.643297,1,1.165118,0.000000,19.990674
0.205000,0.900744,0.848328,4.264970,-1.632114,1,1.165118,0.000000,19.990674
0.206000,0.905006,0.846702,4.258300,-1.620365,1,1.165118,0.000000,19.990674
0.207000,0.909261,0.845088,4.251553,-1.608053,1,1.165118,0.000000,19.990674
0.208000,0.913509,0.843486,4.244737,-1.595183,1,1.165118,0.000000,19.990674
0.209000,0.917750,0.841898,4.237859,-1.581759,1,1.165118,0.000000,19.990674
0.210000,0.921985,0.840323,4.230924,-1.567787,1,1.165118,0.000000,19.990674
0.211000,0.926212,0.838762,4.223941,-1.553270,1,1.165118,0.000000,19.990674
0.212000,0.930432,0.837216,4.216915,-1.538214,1,1.165118,0.000000,19.990674
0.213000,0.934646,0.835686,4.209852,-1.522624,1,1.165118,0.000000,19.990674
0.214000,0.938852,0.834171,4.202761,-1.506506,1,1.165118,0.000000,19.990674
0.215000,0.943051,0.832673,4.195646,-1.489865,1,1.165118,0.000000,19.990674
0.216000,0.947243,0.831192,4.188515,-1.472706,1,1.165118,0.000000,19.990674
0.217000,0.951428,0.829728,4.181375,-1.455035,1,1.165118,0.000000,19.990674
0.218000,0.955606,0.828282,4.174232,-1.436859,1,1.165118,0.000000,19.990674
0.219000,0.959777,0.826854,4.167093,-1.418184,1,1.165118,0.000000,19.990674
0.220000,0.963940,0.825446,4.159963,-1.399015,1,1.165118,0.000000,19.990674
0.221000,0.968097,0.824057,4.152850,-1.379360,1,1.165118,0.000000,19.990674
0.222000,0.972246,0.822687,4.145760,-1.359225,1,1.165118,0.000000,19.990674
0.223000,0.976388,0.821338,4.138700,-1.338616,1,1.165118,0.000000,19.990674
0.224000,0.980523,0.820010,4.131676,-1.317542,1,1.165118,0.000000,19.990674
0.225000,0.984652,0.818703,4.124693,-1.296008,1,1.165118,0.000000,19.990674
0.226000,0.988773,0.817418,4.117759,-1.274023,1,1.165118,0.000000,19.990674
0.227000,0.992887,0.816155,4.110880,-1.251593,1,1.165118,0.000000,19.990674
0.228000,0.996995,0.814915,4.104062,-1.228727,1,1.165118,0.000000,19.990674
0.229000,1.001095,0.813698,4.097311,-1.205432,1,1.165118,0.000000,19.990674
0.230000,1.005189,0.812504,4.090632,-1.181716,1,1.165118,0.000000,19.990674
0.231000,1.009277,0.811335,4.084033,-1.157588,1,1.165118,0.000000,19.990674
0.232000,1.013357,0.810189,4.077518,-1.133054,1,1.165118,0.000000,19.990674
0.233000,1.017432,0.809069,4.071094,-1.108124,1,1.165118,0.000000,19.990674
0.234000,1.021500,0.807973,4.064766,-1.082806,1,1.165118,0.000000,19.990674
0.235000,1.025561,0.806903,4.058539,-1.057110,1,1.165118,0.000000,19.990674
0.236000,1.029617,0.805859,4.052421,-1.031042,1,1.165118,0.000000,19.990674
0.237000,1.033666,0.804841,4.046415,-1.004614,1,1.165118,0.000000,19.990674
0.238000,1.037710,0.803850,4.040527,-0.977833,1,1.165118,0.000000,19.990674
0.239000,1.041747,0.802886,4.034762,-0.950708,1,1.165118,0.000000,19.990674
0.240000,1.045779,0.801949,4.029126,-0.923250,1,1.165118,0.000000,19.990674
0.241000,1.049805,0.801039,4.023623,-0.895468,1,1.165118,0.000000,19.990674
0.242000,1.053826,0.800158,4.018259,-0.867371,1,1.165118,0.000000,19.990674
0.243000,1.057842,0.799305,4.013037,-0.838968,1,1.165118,0.000000,19.990674
0.244000,1.061853,0.798480,4.007963,-0.810270,1,1.165118,0.000000,19.990674
0.245000,1.065858,0.797684,4.003041,-0.781287,1,1.165118,0.000000,19.990674
0.246000,1.069859,0.796918,3.998275,-0.752029,1,1.165118,0.000000,19.990674
0.247000,1.073855,0.796180,3.993670,-0.722505,1,1.165118,0.000000,19.990674
0.248000,1.077846,0.795473,3.989230,-0.692727,1,1.165118,0.000000,19.990674
0.249000,1.081833,0.794795,3.984958,-0.662704,1,1.165118,0.000000,19.990674
0.250000,1.085816,0.794147,3.980858,-0.632446,1,1.165118,0.000000,19.990674
0.251000,1.089795,0.793530,3.976934,-0.601966,1,1.165118,0.000000,19.990674
0.252000,1.093770,0.792944,3.973190,-0.571272,1,1.165118,0.000000,19.990674
0.253000,1.097741,0.792388,3.969628,-0.540376,1,1.165118,0.000000,19.990674
0.254000,1.101709,0.791863,3.966252,-0.509289,1,1.165118,0.000000,19.990674
0.255000,1.105674,0.791369,3.963064,-0.478021,1,1.165118,0.000000,19.990674
0.256000,1.109635,0.790907,3.960068,-0.446584,1,1.165118,0.000000,19.990674
0.257000,1.113594,0.790476,3.957267,-0.414988,1,1.165118,0.000000,19.990674
0.258000,1.117550,0.790077,3.954662,-0.383245,1,1.165118,0.000000,19.990674
